CustomerId,Total_Amount,Avg_Amount,Std_Amount,Max_Amount,Min_Amount,Transaction_Count,Unique_Products,Unique_Categories,Fraud_Rate,Avg_PricingStrategy,Recency_Days,Avg_Transaction_Hour,Cluster,is_high_risk
CustomerId_1,-10000.0,-10000.0,0.0,-10000.0,-10000.0,1,1,1,0.0,4.0,83,16.0,0,1
CustomerId_10,-10000.0,-10000.0,0.0,-10000.0,-10000.0,1,1,1,0.0,4.0,83,16.0,0,1
CustomerId_1001,20000.0,4000.0,6558.963332722634,10000.0,-5000.0,5,3,2,0.0,2.0,89,7.8,0,1
CustomerId_1002,4225.0,384.09090909090907,560.4989660196449,1500.0,-75.0,11,3,2,0.0,2.909090909090909,25,13.454545454545455,1,0
CustomerId_1003,20000.0,3333.3333333333335,6030.478145774734,10000.0,-5000.0,6,4,2,0.0,2.0,11,14.333333333333334,1,0
CustomerId_1004,2000.0,2000.0,0.0,2000.0,2000.0,1,1,1,0.0,4.0,52,18.0,0,1
CustomerId_1005,48800.0,5422.222222222223,5983.6815126178335,10000.0,-5000.0,9,3,2,0.0,2.2222222222222223,46,10.11111111111111,0,1
CustomerId_1006,1000.0,1000.0,0.0,1000.0,1000.0,1,1,1,0.0,2.0,64,7.0,0,1
CustomerId_1007,28000.0,28000.0,0.0,28000.0,28000.0,1,1,1,0.0,2.0,81,6.0,0,1
CustomerId_1008,20000.0,10000.0,0.0,10000.0,10000.0,2,1,1,0.0,2.0,65,13.0,0,1
CustomerId_1009,500.0,500.0,0.0,500.0,500.0,1,1,1,0.0,4.0,27,6.0,1,0
CustomerId_1010,26335.0,3762.1428571428573,4971.798816946486,10000.0,-1000.0,7,4,3,0.0,2.0,41,11.428571428571429,0,1
CustomerId_1012,124906.0,1687.918918918919,3441.4863138083697,22000.0,-1100.0,74,4,2,0.0,1.472972972972973,4,16.04054054054054,1,0
CustomerId_1014,763880.0,95485.0,119332.84340149493,300000.0,1000.0,8,1,1,0.0,2.0,49,9.125,0,1
CustomerId_1016,20000.0,4000.0,6745.368781616021,10000.0,-5000.0,5,3,2,0.0,2.0,4,18.0,1,0
CustomerId_1020,292195.0,1439.384236453202,2500.4482251946347,10000.0,-100.0,203,6,3,0.0,2.0,26,11.911330049261084,1,0
CustomerId_1021,5000.0,5000.0,0.0,5000.0,5000.0,1,1,1,0.0,2.0,77,19.0,0,1
CustomerId_1022,7000.0,7000.0,0.0,7000.0,7000.0,1,1,1,0.0,2.0,34,13.0,1,0
CustomerId_1025,17200.0,1075.0,1803.6536992079898,5000.0,-1000.0,16,4,2,0.0,2.125,11,15.75,1,0
CustomerId_1027,26770.0,1912.142857142857,3484.2705418482087,10000.0,-50.0,14,6,3,0.0,2.0,0,12.857142857142858,1,0
CustomerId_1028,500.0,500.0,0.0,500.0,500.0,1,1,1,0.0,2.0,25,9.0,1,0
